une	motor	hurdnii_hairtsag	hurd	turul	ungu	uild_on	orj_on	hudulguur	dotor_ungu	leasing	hutlugchn	kilo	nuhtsul	haalga
29.8	2.0	Автомат	Зөв	Суудлын тэрэг	Хар	2010	2020	Бензин	Хар	Лизинггүй	Урдаа FWD	118000	Дугаар авсан	5
250	2.0	Автомат	Зөв	Жийп	Саарал	2020	2024	Бензин	Хар	ББСБ лизингтэй	Бүх дугуй 4WD	70000	Дугаар аваагүй	4
79	5.0	Автомат	Зөв	Жийп	Хар	2008	2011	Бензин	Хар	ББСБ лизингтэй	Бүх дугуй 4WD	150	Дугаар авсан	5
33	2.2	Автомат	Зөв	Гэр бүлийн	Хар	2007	2012	Дизель	Хар	Лизинггүй	Хойноо RWD	66000	Дугаар авсан	4
50	5.0	Автомат	Зөв	Жийп	Хар	2003	2012	Бензин	Хар	Лизинггүй	Бүх дугуй 4WD	100000	Дугаар авсан	5
114	2.0	Автомат	Зөв	Суудлын тэрэг	Саарал	2016	2024	Бензин	Бор	ББСБ лизингтэй	Бүх дугуй 4WD	32000	Дугаар авсан	5
128	2.0	Автомат	Зөв	Суудлын тэрэг	Цагаан	2016	2024	Бензин	Бор	ББСБ лизингтэй	Бүх дугуй 4WD	53000	Дугаар аваагүй	5
125	5.0	Автомат	Зөв	Суудлын тэрэг	Хар	2014	2019	Бензин	Хар	ББСБ лизингтэй	Бүх дугуй 4WD	68278	Дугаар авсан	4
450	4.0	Автомат	Зөв	Суудлын тэрэг	Хар	2018	2024	Бензин	Цагаан шар	Лизинггүй	Бүх дугуй 4WD	29200	Дугаар аваагүй	4
480	4.0	Автомат	Зөв	Жийп	Боронзон	2021	2021	Бензин	Хар	Лизинггүй	Бүх дугуй 4WD	50000	Дугаар авсан	5
45	3.2	Автомат	Зөв	Суудлын тэрэг	Хар	1994	2024	Бензин	Хар	Лизинггүй	Хойноо RWD	200000	Дугаар аваагүй	5
65	5.0	Автомат	Зөв	Жийп	Хар	2002	2012	Бензин	Хар	Лизинггүй	Бүх дугуй 4WD	100000	Дугаар авсан	5
45	3.3	Автомат	Зөв	Суудлын тэрэг	Цагаан	2014	2018	Бензин	Хар	Лизинггүй	Бүх дугуй 4WD	160000	Дугаар авсан	4
47	1.6	Автомат	Буруу	Суудлын тэрэг	Хар	2018	2020	Бензин	Хар	Лизинггүй	Урдаа FWD	29000	Дугаар авсан	5
150	2.0	Автомат	Буруу	Гэр бүлийн	Бусад	2016	2023	Дизель	Бусад	Лизинггүй	Бүх дугуй 4WD	135000	Дугаар авсан	4
29.9	1.6	Автомат	Буруу	Суудлын тэрэг	Бор	2013	2023	Бензин	Хар	Лизинггүй	Урдаа FWD	136000	Дугаар авсан	5
95	5.5	Автомат	Зөв	Жийп	Хүрэн	2009	2009	Бензин	Бусад	ББСБ лизингтэй	Бүх дугуй 4WD	1500000	Дугаар авсан	4
